数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,心率(beats/min),心率单位,心率.测量开始时间,心率.测量结束时间,心率.测量时间,心率.统计描述,心率.身体活动状态,心率.睡眠状态,心率.用户备注,外部ID,元数据版本
0f1283bb17a44a0ab2b48e726afaef47,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:50:39, , , , ,B1B,1
bb694c29af8c419da65affd7261a1537,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:50:29, , , , ,B1B,1
a4194e0deee64f8cb0fa6b03c94ab0dc,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:50:14, , , , ,B1B,1
a05daf0bfabd4e9fa6f2d72c154a3a34,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,101,beats/min,,,2025-04-02 13:50:24, , , , ,B1B,1
a18d439610404232996ecf26bfd31851,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,100,beats/min,,,2025-04-02 13:50:19, , , , ,B1B,1
8ddeba4ba21e4ea18f8df4a8a0e8aa3b,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:50:34, , , , ,B1B,1
678fb3ed90d04153b0f1dd39b8e7cd37,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:49:59, , , , ,B1B,1
67cc614fd01147579772aad00f8be82f,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,102,beats/min,,,2025-04-02 13:50:04, , , , ,B1B,1
d43db9adcfff414c8424777d78ad2e41,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,103,beats/min,,,2025-04-02 13:49:49, , , , ,B1B,1
169ad8af2f344a458dc1d5d1a6b8dbeb,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,102,beats/min,,,2025-04-02 13:49:44, , , , ,B1B,1
47599077f2e1498bb01bdba2691986ca,ff204ebb74b94e37bb0debe1fcf2807d,e4e0f8dda2bb471eba7f7133e6bf9c90,2025-04-02 13:50:45,2025-04-02 13:45:43,105,beats/min,,,2025-04-02 13:49:54, , , , ,B1B,1
